#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Les mots bleus","Johan Papaconstantino",58,172,"french indietronica","Electronic","Les mots bleus",2019-05-31,04:10,79,48,27,1,43,10,10,-8,G#/A♭ Major,4,2022-06-22,4ffoWIfe9UWfyuJT5I0I7L,"Animal63",4B,https://p.scdn.co/mp3-preview/ce28eb50216b561d2dbf8cb831f98863ac7bc920?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513cebc4b0dae0ed6a0a26d134
2,"Can't You See","Ilkan Gunuc,Osman Altun",35,118,"turkish deep house, turkish edm, covertronica","Electronic","Can't You See",2020-12-18,02:24,88,62,30,0,30,0,20,-9,F Minor,4,2022-06-22,2PfqvSuU5WVTWgyfl5iPNj,"TFB Records",4A,https://p.scdn.co/mp3-preview/3ea8ab51322c4d2aeef63a5506765bf69cf59552?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851165372c0911b5fe65a743e2f
3,"Trop beau","Crisologo,Emma Peters",58,120,"french pop","Pop","Trop beau",2019-03-20,04:44,80,69,32,0,16,20,10,-9,G#/A♭ Minor,4,2022-06-22,5j97tfPa0kGi0ieKQRiLRf,"Crisologo & Emma Peters",1A,https://p.scdn.co/mp3-preview/ae5d9cad5a69e6fcf25cbfe1a84bc668a2cb9c1f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a064c295c84eb1c2c999982d
4,"Le temps est bon","Bon Entendeur,Isabelle Pierre",66,98,"french indie pop, new french touch, ","Pop, Electronic","Aller-retour",2019-12-13,03:23,57,68,24,0,58,0,30,-6,D#/E♭ Major,4,2022-06-22,2U5kSevItDmL0XzSDyemRp,"Columbia",5B,https://p.scdn.co/mp3-preview/d61df85cf5893100deb01b303f40d60e2f31509f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516e8b4204d8642ea232e06b8d
5,"Canopée","Polo & Pan",67,96,"dark disco, electro-pop francais, french indietronica","Electronic, R&B","Caravelle",2017-05-19,04:36,70,69,9,1,37,0,0,-7,F Minor,4,2022-07-17,260V7huyJrXnyYe0dFv2Fa,"Universal Music Division Virgin Music Distribution Deal",4A,,https://i.scdn.co/image/ab67616d000048514ee9468123f381eb8d5e05bb
6,"Won't Forget You (Edit)","Shouse",72,127,"aussietronica","Electronic","Won't Forget You",2022-02-04,03:50,66,66,2,1,56,0,10,-7,G Minor,4,2022-06-22,3I10tZ5MgEMo4WryCNJkZQ,"Hell Beach",6A,https://p.scdn.co/mp3-preview/95d0a52d0942d7ea4bd5b906e9e2696cfa256faf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511f3784b43dbc8566a24473f2
7,"Possédé","Emma Peters,Crisologo",51,110,"french pop, ","Pop","Emma Peters (Remixed)",2021-02-05,04:11,73,51,28,0,17,0,10,-10,F Minor,4,2022-06-22,6o5KebfdkkP0NWzpDFuXt7,"Local",4A,https://p.scdn.co/mp3-preview/be1e98937661e7b571f6746362782d82f1e03a81?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485163423dab00ac6763899a9876
8,"Notramourémor?","Crisologo,Emma Peters",0,112,"french pop","Pop","Notramourémor?",2020-06-15,03:02,62,68,1,0,37,0,10,-11,A#/B♭ Minor,4,2022-07-17,0uF6Bg5uQSNrjwbEoY5cxF,"Crisologo & Emma Péters",3A,,https://i.scdn.co/image/ab67616d0000485120913184008551e59950a5a7
9,"Crazy - Nôze Remix","Ornette",47,118,"french indie pop","Pop","Crazy (Nôze Remix)",2012-02-06,03:49,91,53,6,2,29,0,10,-10,F Minor,4,2022-06-22,3EcgKkCe7rKn7at2lNVVGg,"Discograph",4A,https://p.scdn.co/mp3-preview/536244cfd907e0b860fb7ebcb468a2fc501f2b9c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851336ebd9ff0bfe3fe97652887
10,"Atlas","Lane 8",54,122,"gauze pop, melodic house, progressive house","Pop, Electronic","Little by Little",2018-01-19,05:50,64,56,30,92,17,0,10,-11,F#/G♭ Major,5,2022-06-22,6YFRyll4isFUJrbHSeM1oJ,"This Never Happened",2B,https://p.scdn.co/mp3-preview/5427b30ff2804268a2abe974a1a2d3972d8687b9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513632681259e482efdffdc1b1
11,"Clandestina","FILV,Edmofo",56,102,"russian dance, ","Electronic","LUX",2020-06-26,02:28,53,61,18,0,27,30,10,-9,G#/A♭ Minor,4,2022-06-22,47eYSPt1lix3RBbq40q8bN,"YENİ DÜNYA MÜZİK",1A,https://p.scdn.co/mp3-preview/f6b1b70e9bfbe25ab10c2399db9120154f8774a0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a8714763e521564515b868ea
12,"L'amour comme à 16 ans","Bon Entendeur,Marie Laforêt",0,103,"french indie pop, new french touch, chanson, ye ye","Easy listening, Pop, Electronic, Rock","Minuit",2021-06-25,03:41,57,79,26,1,33,0,10,-8,C Minor,4,2022-06-22,1oHfekv3Ml9QWuYpDygjS5,"Columbia",5A,,https://i.scdn.co/image/ab67616d00004851c15796a5662fafda1d27ef32
13,"La clé des champs","NTO",60,120,"deep euro house, minimal melodic techno, new french touch","Electronic","La clé des champs",2016-09-30,06:56,46,53,0,86,4,0,10,-11,F#/G♭ Major,4,2022-06-22,12LOYGBr0T0IqyuhEILYFh,"Hungry Music",2B,https://p.scdn.co/mp3-preview/9e3e8d633a1a60b888d14d0547bfeaf3f45eb9e4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515e04fccc811e35cf8d8f4c61
14,"Deus","HVOB,Winston Marshall",28,117,"electronica, ","Electronic","Silk",2017-03-24,07:03,88,34,63,80,13,10,0,-15,E Minor,4,2022-06-22,5nV05PdEbgqt49pDYo5zLT,"Tragen Records",9A,https://p.scdn.co/mp3-preview/81cc2a4e27c0b963ae01be14ed9918816193e847?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516f08fc7710f056ed4d8b30e8
15,"Mosaïque","Ash",59,93,"arab electronic","Electronic","Mosaïque",2016-04-09,03:41,67,77,25,80,24,0,20,-6,G Minor,4,2022-06-22,3bbqxT5UGZsvTy1r3txs0t,"Ash",6A,https://p.scdn.co/mp3-preview/8e3f1adf360fd090da3069e02fefac668fc342ae?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485144acb41556b04007659c3556
16,"Lost Gravity","Tinlicker",45,120,"melodic house","Electronic","Lost Gravity EP",2021-05-14,05:05,33,88,0,88,3,0,10,-8,F Major,4,2022-06-22,4UwtgYX9wp4z9zLIfzVviV,"Anjunadeep",7B,https://p.scdn.co/mp3-preview/eca628db25a98d685eb40d4feaf2b20dc92e8684?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514d03c6a3ebc245da697d0761
17,"Giorgio by Moroder","Daft Punk",65,113,"electro, filter house, rock","Hip Hop, Electronic, Rock","Random Access Memories",2013-05-20,09:04,74,68,7,53,41,0,30,-10,A Minor,4,2022-06-22,0oks4FnzhNp5QPTZtoet7c,"Columbia",8A,https://p.scdn.co/mp3-preview/ffbe7c12252438f212fd67000bcbd8cdc5ba4525?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b9b36b0e22870b9f542d937
18,"Airplane Lesson","Stereoclip",59,123,"","","Airplane Lesson",2016-00-00,04:12,53,45,67,94,13,20,10,-13,G Minor,4,2022-06-22,2SxeNZphx2bH5kju5Ntu8P,"Hungry Music",6A,https://p.scdn.co/mp3-preview/df6ba0499d3ab6ea31f40971945d526c30bed54b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f3180e7b79a88ad0afe954a1
19,"Invisible","NTO",48,123,"deep euro house, minimal melodic techno, new french touch","Electronic","Apnea",2021-10-08,05:39,54,58,11,88,6,0,10,-11,C♯/D♭ Minor,4,2022-06-22,4r4eTvYnjzyQnMpWei7Qgb,"AllPoints",12A,https://p.scdn.co/mp3-preview/fa5262839f323254fc66022c2e5287d1c2154d6d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517ff242d3a52df1ede33893cd
20,"Crimewave","Crystal Castles,HEALTH",66,120,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore, grave wave, metropopolis, noise pop, noise rock","Rock, Pop, Electronic","Crystal Castles",2008-03-16,04:18,74,69,20,3,88,0,20,-8,E Minor,4,2022-06-22,7dxQFzp8zZzgDkaYEXQZIv,"Different Recordings",9A,https://p.scdn.co/mp3-preview/cba97b9494435fe692a22179d9e4eda58a2bff47?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b01fea159227ea845c2bd72e
21,"Light","Ash",39,108,"arab electronic","Electronic","Light",2020-04-24,05:28,61,72,52,89,4,0,20,-10,E Minor,4,2022-06-22,7oyfJcOR2i3whfEYMogQt1,"Ash",9A,https://p.scdn.co/mp3-preview/270dd5afbffbff4deb659ba4764c03fc7d6887bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b5d41be00d1b95e4a4aa4bb
22,"Oasis","Arman Cekin,Ash",34,105,"bass trap, arab electronic","Electronic, Hip Hop","Oasis",2020-06-26,03:03,71,68,85,89,39,0,10,-7,B Minor,4,2022-06-22,0kids7IAQ3dPoEFR44tIDF,"Avrupa Müzik Yapim",10A,https://p.scdn.co/mp3-preview/dd6ca712a15f882a632e9f30558a45dc78356689?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851beb4d01259fc2dd7b3db03aa
