#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Balmain Jeans","Kid Cudi,Raphael Saadiq",36,160,"hip hop, ohio hip hop, pop rap, rap, funk, neo soul, soul","R&B, Hip Hop","KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon",2014-01-01,05:27,51,73,48,0,60,0,0,-6,C♯/D♭ Major,4,2022-06-18,4ye8dQDob59j8hbwIfXKYa,"Kid Cudi/Universal Records",3B,,https://i.scdn.co/image/ab67616d00004851e2d1b3c2dbdfe07013fb91bb
2,"White Ferrari","Frank Ocean",83,109,"lgbtq+ hip hop, neo soul","Hip Hop, R&B","Blonde",2016-08-20,04:08,50,10,77,0,20,0,30,-16,C Major,4,2022-06-18,2LMkwUfqC6S6s6qDVlEuzV,"Boys Don't Cry",8B,https://p.scdn.co/mp3-preview/bff77236970b7f90cdfc274b18b55ce7bf584bcc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c5649add07ed3720be9d5526
3,"Wolves","Kanye West",72,156,"chicago rap, hip hop, rap","Hip Hop","The Life Of Pablo",2016-06-10,05:01,40,39,22,0,10,0,10,-8,C♯/D♭ Major,4,2022-06-18,432hUIl3ISDeytYW5XBQ5h,"Rock The World/IDJ/Kanye LP7",3B,,https://i.scdn.co/image/ab67616d000048512a7db835b912dc5014bd37f4
4,"ASTROTHUNDER","Travis Scott",79,152,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,02:22,70,46,14,0,29,0,10,-8,E Minor,4,2022-06-18,4MXhiYIRDMGAuvZc5IFTwC,"Cactus Jack / Epic",9A,https://p.scdn.co/mp3-preview/7400069aa1157e71455bf45fcbf29d897287b2a2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
5,"Location","Playboi Carti",82,126,"atl hip hop, plugg, pluggnb, rage rap, rap","Hip Hop","Playboi Carti",2017-04-14,02:48,72,79,33,0,37,20,50,-4,B Major,4,2022-06-18,3yk7PJnryiJ8mAPqsrujzf,"AWGE Label",1B,,https://i.scdn.co/image/ab67616d00004851e31a279d267f3b3d8912e6f1
6,"Alone Again","The Weeknd",70,65,"canadian contemporary r&b, canadian pop, pop","R&B, Pop","After Hours",2020-03-20,04:10,22,65,3,11,6,0,10,-8,E Minor,4,2022-06-18,6b5P51m8xx2XA6U7sdNZ5E,"Republic Records",9A,,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36
7,"Excuse Me","A$AP Rocky",64,122,"east coast hip hop, hip hop, rap, trap","Hip Hop","AT.LONG.LAST.A$AP",2015-05-26,03:58,65,71,33,0,41,0,10,-8,G#/A♭ Major,4,2022-06-18,3I8MbKRkS2IBDuslhCS3iT,"A$AP Worldwide/Polo Grounds Music/RCA Records",4B,https://p.scdn.co/mp3-preview/96b7f63c3015ee198bbf238b16d0a7a9fbf000fe?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485181a6a2cafab2e7a4066b5eec
8,"Skin and Bones","070 Shake",52,116,"new jersey rap","Hip Hop","You Can’t Kill Me",2022-06-03,03:34,61,63,4,0,33,0,0,-6,C Major,4,2022-06-18,4CZgQq8KJYWGh1bM3sqGmd,"Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",8B,,https://i.scdn.co/image/ab67616d00004851a6dd9a81268761d323411303
9,"Myth","Beach House",62,142,"art pop, baltimore indie, dream pop, dreamo, indie rock, indietronica, modern dream pop, pov: indie","Pop, Rock","Bloom",2012-05-14,04:18,45,70,3,12,41,0,0,-6,D#/E♭ Major,4,2022-06-18,2Zw3HNjaNV42LnQ2uY5JQs,"Bella Union",5B,https://p.scdn.co/mp3-preview/23bd047080a44990dfd48ab362e6191904fc0356?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fab2fadd4f2b3e54f8bfbc26
10,"Star Shopping","Lil Peep",8,93,"cloud rap, emo rap, lgbtq+ hip hop","Hip Hop","Star Shopping",2015-00-00,02:22,59,47,10,2,32,0,10,-10,E Minor,4,2022-06-18,30bqVoKjX479ab90a8Pafp,"Lil Peep",9A,,https://i.scdn.co/image/ab67616d00004851e813c020ab6245eae154ec16
