#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Sen Orda Yoksun","Göksel",67,92,"turkce slow sarkilar, turkish pop","Pop","Sen Orda Yoksun",2015-01-05,04:01,31,74,3,0,26,0,30,-5,F Minor,4,2022-05-23,0xB1twgXnL1hEwLRWdRUIe,"AVRUPA MÜZİK YAPIM",4A,https://p.scdn.co/mp3-preview/45f681a93786b45b8569a6f8a28546b503471ac7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a36da4492a8056e96267055e
2,"Unuttum Derdimi","Deeperise,Jabbar",54,94,"turkish deep house, turkish pop","Electronic, Pop","Unuttum Derdimi",2021-04-16,03:49,73,67,50,0,38,0,10,-8,A Minor,4,2022-05-23,62QJlc5UNrMSl8sgIr6BYM,"AVRUPA MÜZİK YAPIM",8A,https://p.scdn.co/mp3-preview/8f1d459b28b79186057552428b012d703080138f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485108a83878071bb9069c7b1bb2
3,"Hakim Bey","KADR",57,89,"turkish trap pop","Pop","Hakim Bey",2021-05-07,02:47,60,52,31,0,39,10,30,-8,C Minor,4,2022-05-23,1U162pMcwl6Ssq5kk1Sso3,"Embassy of Music",5A,https://p.scdn.co/mp3-preview/be84e9da0464195c5acece99f50247ce1be0730a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ba369c2f43f4c4962c745347
4,"Yalnız Kuş","Göksel",63,162,"turkce slow sarkilar, turkish pop","Pop","Bende Bi' Aşk Var",2012-01-09,04:01,55,80,35,0,36,0,10,-5,F Minor,4,2022-05-23,5LcMWqKzFGbotbg0QkbrWK,"AVRUPA MÜZİK YAPIM",4A,https://p.scdn.co/mp3-preview/d9d629b167f766c8329f08fde5dbb0c0d75101f0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eb4534ca1227f529d3895fd1
5,"Saygımdan","Bengü",67,128,"turkish pop","Pop","İkinci Hal",2014-10-17,04:31,73,66,28,0,62,0,20,-5,F Minor,4,2022-05-23,4E10qEzOmTIVmrg6Wz2RHj,"DOĞAN MÜZİK YAPIM",4A,https://p.scdn.co/mp3-preview/a1a669225eed5d1bff889298460b5dec661e064c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485197ad00a32edde479dfa03c8b
6,"Raf","Deeperise,Jabbar",66,97,"turkish deep house, turkish pop","Electronic, Pop","Raf",2017-05-05,04:07,79,44,20,0,14,0,10,-11,E Minor,4,2022-05-23,1jStctxoCQu67sVWxzatLC,"EMI - Kent Elektronik Sanayi ve Ticaret A.S.",9A,,https://i.scdn.co/image/ab67616d00004851caae7b6a16b0c8c1aed145e5
7,"Goodbye","Ömer Balık",1,93,"turkish deep house","Electronic","Goodbye",2021-04-25,03:22,72,46,39,78,59,0,10,-13,F#/G♭ Minor,4,2022-05-23,2KbeCcarWaFJv90pSMDhxT,"2924120 Records DK",11A,,https://i.scdn.co/image/ab67616d000048514eea4adbfc04048912053019
8,"Worlds Apart","Ash",54,113,"arab electronic","Electronic","Worlds Apart",2019-03-29,04:23,71,56,19,90,12,0,10,-9,F Minor,4,2022-05-23,1jEy4S0PriJSPxBIc7XreS,"Ash",4A,https://p.scdn.co/mp3-preview/18499031b39a78c776831852acb7cb512c57c26f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e471b1d63e7c3520c209dbda
9,"Another Love - Zwette Edit","Tom Odell,Zwette",66,124,"chill pop, german house","Pop, Electronic","Another Love (Zwette Edit)",2013-09-27,06:34,87,55,8,7,46,0,10,-6,E Minor,4,2022-05-23,5snyhxAh55A2wlNRH7VVZJ,"ITNO/Columbia",9A,https://p.scdn.co/mp3-preview/9d6613c3e0f521119427422cf25fb5922fa4eb38?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513aeff37d3f480564f6e88059
10,"Bayatilar - Zuma Dionys & Dibidabo Remix","Dobranotch,Zuma Dionys,Dibidabo",18,102,"balkan brass, gypsy fusion, klezmer, ethnotronica, organic electronic, organic house, ","Electronic, World/Traditional","Merčedes Kolo",2019-02-15,07:24,81,81,6,51,71,0,0,-6,D Minor,4,2022-05-23,4QKPg4NhcsZ50kEV92GT0v,"CPL-Music",7A,,https://i.scdn.co/image/ab67616d00004851fb0f52c44140423b0dbc2fe5
11,"Kafile","Yüksek Sadakat",66,100,"turkish pop, turkish rock","Pop, Rock","Yüksek Sadakat",2005-04-21,04:18,57,75,5,0,75,0,30,-6,A Major,4,2022-05-23,4PTjzk0gb6st9Lk5kKBnc6,"DOĞAN MÜZİK YAPIM",11B,https://p.scdn.co/mp3-preview/daa7f2443aa65575b51d011ba4b1dac4a13fb187?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b0b708cd6af98b90b56296bb
